_H:	|Run	|Epoch	#SSE	#AvgSSE	#PctErr	#PctCor	#PctNameErr	#CosDiff	#PerTrlMSec	#OrthoCode ActAvg	#Hidden ActAvg
_D:	0	254	0.05049	0.0003606	0.01543	0.9846	0.01132	1.051	30.92	0.1009	0.114
_D:	0	255	0.02071	0.0001479	0.01359	0.9864	0.007767	0.9424	27.72	0.09963	0.1134
_D:	0	256	0.03978	0.0002841	0.01185	0.9882	0.009872	1.015	29.8	0.09916	0.1133
_D:	0	257	0.05387	0.0003848	0.01377	0.9862	0.009833	0.9936	29.05	0.101	0.114
_D:	0	258	0.0523	0.0003736	0.01844	0.9816	0.0123	1.04	30.46	0.09967	0.1134
_D:	0	259	0.09524	0.0006803	0.02165	0.9784	0.01948	1.052	30.89	0.09698	0.1129
_D:	0	260	0.07985	0.0005704	0.01929	0.9807	0.01827	0.935	27.51	0.1011	0.1138
_D:	0	261	0.0263	0.0001879	0.01346	0.9865	0.008282	1.018	29.84	0.09935	0.1135
_D:	0	262	0.09968	0.000712	0.02301	0.977	0.01569	1.007	29.54	0.1011	0.114
_D:	0	263	0.07373	0.0005266	0.01712	0.9829	0.01208	0.9598	28.08	0.09921	0.1134
_D:	0	264	0.08307	0.0005934	0.02328	0.9767	0.01481	1.047	30.74	0.09997	0.1138
