_H:,|Run,|Epoch,#SSE,#AvgSSE,#PctErr,#PctCor,#CosDiff,#OShidden ActAvg
_D:,0,234,0.1122,0.001979,0.025,0.975,0.9853,0.2
_D:,0,235,0,0,0,1,0.9996,0.2
_D:,0,236,0,0,0,1,0.9996,0.2
_D:,0,237,0.02545,0.0002121,0.025,0.975,0.998,0.2
_D:,0,238,0.06848,0.0006761,0.025,0.975,0.9939,0.2
_D:,0,239,0,0,0,1,0.9996,0.2
_D:,0,240,0,0,0,1,0.9995,0.2
_D:,0,241,0,0,0,1,0.9996,0.2
_D:,0,242,0,0,0,1,0.9996,0.2
_D:,0,243,0,0,0,1,0.9996,0.2
_D:,0,244,0,0,0,1,0.9996,0.2
_D:,0,245,0,0,0,1,0.9996,0.2
_D:,0,246,0,0,0,1,0.9996,0.2
_D:,0,247,0,0,0,1,0.9996,0.2
_D:,0,248,0,0,0,1,0.9996,0.2
_D:,0,249,0,0,0,1,0.9996,0.2
