|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeCT ActAvg	#EncodeCT Hog	#EncodeCT Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltCT ActAvg	#GestaltCT Hog	#GestaltCT Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
0	36	13.05	0.4701	0.008548	0.3067	0.6933	0.7259	0.2732	0.005464	0.3397	0.6603	0.6216	0.1885	0.3741	0.148	0.4319	0.2842	0.5792	0.2346	0.652	0.8378	0.658	0.8696	0.6116	0.2079	0.08333	0	0.1073	0.1042	0.2639	0.05383	0.02083	0.3264	0.03388	0	0.08333	0.1456	0	0.01389
0	37	13.17	0.4986	0.009065	0.3279	0.6721	0.7018	0.2772	0.005543	0.3393	0.6607	0.6239	0.2198	0.3683	0.172	0.4427	0.3213	0.5741	0.254	0.6829	0.8069	0.6576	0.8526	0.5858	0.2072	0.08333	0	0.107	0.09722	0.2431	0.05375	0	0.3194	0.03373	0	0.06944	0.145	0	0.01389
0	38	12.89	0.4717	0.008576	0.306	0.694	0.7187	0.2581	0.005163	0.3154	0.6846	0.6367	0.172	0.38	0.148	0.4289	0.2541	0.5975	0.2326	0.6554	0.8502	0.6417	0.8685	0.5999	0.2073	0.06944	0	0.1066	0.09028	0.2153	0.05393	0.01389	0.3403	0.03355	0	0.05556	0.1455	0	0.01389
0	39	12.95	0.4219	0.007671	0.274	0.726	0.7482	0.2675	0.005349	0.3173	0.6827	0.6316	0.1542	0.3601	0.124	0.3954	0.2301	0.564	0.193	0.6063	0.8597	0.6673	0.8914	0.6299	0.2078	0.1111	0	0.1068	0.1042	0.2361	0.05443	0.006944	0.3194	0.03376	0	0.09028	0.1467	0	0.01389
0	40	12.92	0.428	0.007783	0.2956	0.7044	0.7413	0.3022	0.006043	0.352	0.648	0.6034	0.243	0.2837	0.15	0.4051	0.339	0.4248	0.2301	0.5702	0.7941	0.7443	0.8704	0.6433	0.2089	0.1181	0	0.1068	0.09722	0.2569	0.05407	0.006944	0.3681	0.03374	0	0.08333	0.1458	0	0.01389
0	41	13.09	0.4466	0.00812	0.2909	0.7091	0.7307	0.2729	0.005457	0.3367	0.6633	0.6221	0.1671	0.3327	0.166	0.3756	0.239	0.5249	0.2641	0.5648	0.8462	0.6913	0.8473	0.651	0.2081	0.08333	0	0.1075	0.1042	0.2431	0.05364	0.01389	0.3403	0.03395	0	0.06944	0.1459	0	0.01389
0	42	14.61	0.4961	0.00902	0.3182	0.6818	0.7027	0.2702	0.005405	0.333	0.667	0.6318	0.2052	0.3412	0.162	0.4354	0.3048	0.5432	0.2505	0.6813	0.8215	0.6712	0.8566	0.5831	0.2082	0.125	0	0.1067	0.09028	0.2153	0.05297	0	0.3681	0.03412	0	0.1181	0.1462	0	0.02083
0	43	13.3	0.3673	0.006679	0.2503	0.7497	0.7764	0.2837	0.005675	0.3345	0.6655	0.6231	0.182	0.2688	0.122	0.3504	0.2645	0.3975	0.1793	0.5138	0.831	0.7672	0.8921	0.6856	0.2075	0.1042	0	0.1072	0.08333	0.1875	0.05272	0.006944	0.3403	0.03393	0	0.07639	0.1477	0	0.01389
0	44	13	0.4942	0.008986	0.308	0.692	0.7071	0.2769	0.005538	0.333	0.667	0.6271	0.1985	0.3327	0.188	0.383	0.3002	0.5483	0.3107	0.6031	0.8188	0.6777	0.8227	0.6339	0.2059	0.09028	0	0.1075	0.08333	0.2083	0.05423	0	0.3264	0.03378	0	0.08333	0.1466	0	0.01389
0	45	13.08	0.362	0.006582	0.2336	0.7664	0.7847	0.2442	0.004883	0.296	0.704	0.6516	0.1372	0.2895	0.118	0.3214	0.2116	0.4499	0.1948	0.4829	0.8762	0.7299	0.8874	0.7085	0.2075	0.09722	0	0.1074	0.09028	0.1944	0.0537	0.006944	0.3333	0.03383	0	0.09722	0.1471	0	0.01389
