_H:	|Run	|Epoch	#PerTrlMSec	#FillSSE	#FillAvgSSE	#FillPctErr	#FillPctCor	#FillCosDiff	#InpSSE	#InpAvgSSE	#InpPctErr	#InpPctCor	#InpCosDiff	#UnAmbFillErr	#AmbFillErr	#CurQFillErr	#RevQFillErr	#UnAmbFillSSE	#AmbFillSSE	#CurQFillSSE	#RevQFillSSE	#UnAmbFillCosDiff	#AmbFillCosDiff	#CurQFillCosDiff	#RevQFillCosDiff	#Encode ActAvg	#Encode Hog	#Encode Dead	#EncodeD ActAvg	#EncodeD Hog	#EncodeD Dead	#Gestalt ActAvg	#Gestalt Hog	#Gestalt Dead	#GestaltD ActAvg	#GestaltD Hog	#GestaltD Dead	#Decode ActAvg	#Decode Hog	#Decode Dead
_D:	0	55	20.02	0.3838	0.006978	0.2456	0.7544	0.7748	0.2755	0.005509	0.3154	0.6846	0.6329	0.1509	0.3103	0.126	0.335	0.2336	0.488	0.2088	0.5084	0.8631	0.7134	0.8817	0.6962	0.2064	0.07639	0	0.1044	0.06944	0.2014	0.05341	0.006944	0.3056	0.03379	0	0.04861	0.1481	0	0
_D:	0	56	20.06	0.4526	0.008229	0.2823	0.7177	0.734	0.2939	0.005877	0.3461	0.6539	0.6093	0.1937	0.3072	0.152	0.3769	0.3017	0.5013	0.2571	0.5872	0.8232	0.7049	0.8526	0.6502	0.207	0.09028	0	0.1045	0.06944	0.1528	0.05317	0.006944	0.3264	0.0338	0	0.0625	0.1484	0	0
_D:	0	57	20.04	0.4318	0.00785	0.2648	0.7352	0.7528	0.2719	0.005438	0.3203	0.6797	0.6326	0.1372	0.3495	0.152	0.341	0.2119	0.5837	0.2533	0.549	0.8779	0.6668	0.8551	0.6856	0.2068	0.09028	0	0.104	0.0625	0.1944	0.05328	0	0.3125	0.03389	0	0.04861	0.1478	0	0
_D:	0	58	20.01	0.4402	0.008003	0.2787	0.7213	0.7441	0.3046	0.006093	0.3572	0.6428	0.6066	0.1511	0.3138	0.154	0.3664	0.2206	0.508	0.2508	0.5691	0.8721	0.7044	0.8559	0.667	0.2068	0.07639	0	0.1043	0.0625	0.1875	0.05412	0	0.2917	0.03373	0	0.05556	0.1486	0	0.006944
_D:	0	59	20.07	0.3893	0.007078	0.2424	0.7576	0.7762	0.2912	0.005825	0.3318	0.6682	0.6185	0.1684	0.2701	0.108	0.352	0.2563	0.4502	0.1872	0.5477	0.8484	0.7462	0.8958	0.6808	0.2062	0.09722	0	0.1047	0.06944	0.2083	0.05368	0.006944	0.3333	0.03358	0	0.07639	0.1468	0	0.006944
_D:	0	60	20.02	0.4621	0.008401	0.2913	0.7087	0.7272	0.2864	0.005728	0.3326	0.6674	0.6191	0.1501	0.3705	0.15	0.3969	0.23	0.596	0.2413	0.6254	0.8693	0.643	0.8568	0.6318	0.2068	0.09028	0	0.1044	0.06944	0.2083	0.05373	0.006944	0.3611	0.03319	0	0.04167	0.1496	0	0.006944
_D:	0	61	19.99	0.4256	0.007739	0.2667	0.7333	0.7538	0.275	0.005499	0.3151	0.6849	0.6296	0.123	0.3504	0.154	0.3418	0.1814	0.5743	0.2615	0.5256	0.899	0.6639	0.8507	0.6935	0.2077	0.1042	0	0.1047	0.0625	0.1875	0.05342	0	0.3194	0.0338	0	0.0625	0.1502	0	0
_D:	0	62	20.04	0.4621	0.008401	0.2814	0.7186	0.7311	0.2599	0.005198	0.3025	0.6975	0.6471	0.1589	0.3605	0.144	0.3838	0.2536	0.6007	0.2448	0.6197	0.8517	0.6514	0.8617	0.6343	0.2053	0.09028	0	0.1065	0.07639	0.1875	0.05312	0.006944	0.2847	0.03411	0	0.05556	0.147	0	0
_D:	0	63	20.01	0.462	0.008401	0.2951	0.7049	0.7221	0.2992	0.005983	0.3404	0.6596	0.6107	0.1414	0.3612	0.158	0.3944	0.2049	0.5793	0.2588	0.6031	0.8664	0.6601	0.8496	0.6306	0.2063	0.09722	0	0.1053	0.08333	0.1875	0.05373	0	0.2986	0.03383	0	0.07639	0.1487	0	0.006944
_D:	0	64	19.97	0.393	0.007146	0.245	0.755	0.7659	0.2918	0.005835	0.3259	0.6741	0.6174	0.1187	0.3122	0.116	0.346	0.1846	0.5066	0.1891	0.5513	0.8864	0.7018	0.8902	0.6681	0.2055	0.09722	0	0.1069	0.07639	0.1736	0.05427	0.006944	0.2639	0.03415	0	0.08333	0.1478	0	0
_D:	0	65	20.04	0.4308	0.007833	0.2614	0.7386	0.7502	0.2711	0.005423	0.3198	0.6802	0.6315	0.1625	0.2889	0.15	0.3376	0.257	0.485	0.2512	0.5513	0.8527	0.7174	0.8543	0.6806	0.2064	0.07639	0	0.1062	0.07639	0.1806	0.05346	0	0.2847	0.03364	0	0.06944	0.1472	0	0.006944
_D:	0	66	19.94	0.4276	0.007774	0.268	0.732	0.7537	0.2852	0.005704	0.3288	0.6712	0.6168	0.149	0.3466	0.156	0.3427	0.23	0.5624	0.2477	0.5482	0.8675	0.6761	0.8595	0.6814	0.2057	0.09028	0	0.1069	0.07639	0.2083	0.0539	0.006944	0.2708	0.03403	0	0.05556	0.1479	0	0
